0.00005	0.	0.	0.	0.201995	0.	0.
0.00015	0.	0.	0.	0.575322	0.	0.
0.00025	0.	0.	0.	1.05662	0.	0.
0.00035	0.	0.	0.	1.60082	0.	0.
0.00045	0.	0.	0.	1.97378	0.	0.
0.00055	0.	0.	0.	2.01318	0.	0.
0.00065	0.	0.	0.	1.98938	0.	0.
0.00075	0.	0.	0.	1.96607	0.	0.
0.00085	0.	0.	0.	2.02806	0.	0.
0.00095	0.	0.	0.	1.98279	0.	0.
0.00105	0.	0.	0.	1.91389	0.	0.
0.00115	0.	0.	0.	1.86223	0.	0.
0.00125	0.	0.	0.	1.76851	0.	0.
0.00135	0.	0.	0.	1.65761	0.	0.
0.00145	0.	0.	0.	1.62775	0.	0.
0.00155	0.	0.	0.	1.58161	0.	0.
0.00165	0.	0.	0.	1.51513	0.	0.
0.00175	0.	0.	0.	1.43226	0.	0.
0.00185	0.	0.	0.	1.34290	0.	0.
0.00195	0.	0.	0.	1.25273	0.	0.
0.00205	0.	0.	0.	1.18522	0.	0.
0.00215	0.	0.	0.	1.09350	0.	0.
0.00225	0.	0.	0.	1.00940	0.	0.
0.00235	0.	0.	0.	0.936739	0.	0.
0.00245	0.	0.	0.	0.872085	0.	0.
0.00255	0.	0.	0.	0.820441	0.	0.
0.00265	0.	0.	0.	0.762899	0.	0.
0.00275	0.	0.	0.	0.719562	0.	0.
0.00285	0.	0.	0.	0.677134	0.	0.
0.00295	0.	0.	0.	0.629071	0.	0.
0.00305	0.	0.	0.	0.594632	0.	0.
0.00315	0.	0.	0.	0.560582	0.	0.
0.00325	0.	0.	0.	0.519627	0.	0.
0.00335	0.	0.	0.	0.484967	0.	0.
0.00345	0.	0.	0.	0.443068	0.	0.
0.00355	0.	0.	0.	0.407816	0.	0.
0.00365	0.	0.	0.	0.372132	0.	0.
0.00375	0.	0.	0.	0.346110	0.	0.
0.00385	0.	0.	0.	0.320699	0.	0.
0.00395	0.	0.	0.	0.293693	0.	0.
0.00405	0.	0.	0.	0.263896	0.	0.
0.00415	0.	0.	0.	0.241374	0.	0.
0.00425	0.	0.	0.	0.217455	0.	0.
0.00435	0.	0.	0.	0.198341	0.	0.
0.00445	0.	0.	0.	0.178238	0.	0.
0.00455	0.	0.	0.	0.158251	0.	0.
0.00465	0.	0.	0.	0.142597	0.	0.
0.00475	0.	0.	0.	0.131033	0.	0.
0.00485	0.	0.	0.	0.120683	0.	0.
0.00495	0.	0.	0.	0.109740	0.	0.
0.00505	0.	0.	0.	0.100377	0.	0.
0.00515	0.	0.	0.	0.0912796	0.	0.
0.00525	0.	0.	0.	0.0822221	0.	0.
0.00535	0.	0.	0.	0.0722568	0.	0.
0.00545	0.	0.	0.	0.0647853	0.	0.
0.00555	0.	0.	0.	0.0582125	0.	0.
0.00565	0.	0.	0.	0.0520204	0.	0.
0.00575	0.	0.	0.	0.0466234	0.	0.
0.00585	0.	0.	0.	0.0418159	0.	0.
0.00595	0.	0.	0.	0.0369807	0.	0.
0.00605	0.	0.	0.	0.032865	0.	0.
0.00615	0.	0.	0.	0.0292952	0.	0.
0.00625	0.	0.	0.	0.0257201	0.	0.
0.00635	0.	0.	0.	0.0230048	0.	0.
0.00645	0.	0.	0.	0.0203948	0.	0.
0.00655	0.	0.	0.	0.0183077	0.	0.
0.00665	0.	0.	0.	0.0161734	0.	0.
0.00675	0.	0.	0.	0.014329	0.	0.
0.00685	0.	0.	0.	0.0127193	0.	0.
0.00695	0.	0.	0.	0.0110011	0.	0.
0.00705	0.	0.	0.	0.00952083	0.	0.
0.00715	0.	0.	0.	0.00761159	0.	0.
0.00725	0.	0.	0.	0.00663064	0.	0.
0.00735	0.	0.	0.	0.00540415	0.	0.
0.00745	0.	0.	0.	0.00447216	0.	0.
0.00755	0.	0.	0.	0.00375163	0.	0.
0.00765	0.	0.	0.	0.00316409	0.	0.
0.00775	0.	0.	0.	0.00259961	0.	0.
0.00785	0.	0.	0.	0.00211567	0.	0.
0.00795	0.	0.	0.	0.00165224	0.	0.
0.00805	0.	0.	0.	0.00112955	0.	0.
0.00815	0.	0.	0.	0.000532037	0.	0.
0.00825	0.	0.	0.	0.000437719	0.	0.
0.00835	0.	0.	0.	0.000363362	0.	0.
0.00845	0.	0.	0.	0.000283145	0.	0.
0.00855	0.	0.	0.	0.000200826	0.	0.
0.00865	0.	0.	0.	0.000175214	0.	0.
0.00875	0.	0.	0.	0.000151641	0.	0.
0.00885	0.	0.	0.	0.000130246	0.	0.
0.00895	0.	0.	0.	0.000100634	0.	0.
0.00905	0.	0.	0.	0.0000778115	0.	0.
0.00915	0.	0.	0.	0.0000658794	0.	0.
0.00925	0.	0.	0.	0.0000567482	0.	0.
0.00935	0.	0.	0.	0.0000488573	0.	0.
0.00945	0.	0.	0.	0.0000415231	0.	0.
0.00955	0.	0.	0.	0.0000321826	0.	0.
0.00965	0.	0.	0.	0.0000275283	0.	0.
0.00975	0.	0.	0.	0.0000232406	0.	0.
0.00985	0.	0.	0.	0.0000181765	0.	0.
0.00995	0.	0.	0.	0.0000135216	0.	0.
0.01005	0.	0.	0.	0.0000122185	0.	0.
0.01015	0.	0.	0.	0.0000107702	0.	0.
0.01025	0.	0.	0.	9.68446e-6	0.	0.
0.01035	0.	0.	0.	8.918e-6	0.	0.
0.01045	0.	0.	0.	8.16536e-6	0.	0.
0.01055	0.	0.	0.	7.44187e-6	0.	0.
0.01065	0.	0.	0.	6.74251e-6	0.	0.
0.01075	0.	0.	0.	6.06527e-6	0.	0.
0.01085	0.	0.	0.	5.39879e-6	0.	0.
0.01095	0.	0.	0.	4.7422e-6	0.	0.
0.01105	0.	0.	0.	4.18195e-6	0.	0.
0.01115	0.	0.	0.	3.63887e-6	0.	0.
0.01125	0.	0.	0.	3.12843e-6	0.	0.
0.01135	0.	0.	0.	2.65391e-6	0.	0.
0.01145	0.	0.	0.	2.2089e-6	0.	0.
0.01155	0.	0.	0.	1.79559e-6	0.	0.
0.01165	0.	0.	0.	1.40505e-6	0.	0.
0.01175	0.	0.	0.	6.39946e-7	0.	0.
0.01185	0.	0.	0.	5.49609e-7	0.	0.
0.01195	0.	0.	0.	4.65341e-7	0.	0.
0.01205	0.	0.	0.	3.87392e-7	0.	0.
0.01215	0.	0.	0.	3.14579e-7	0.	0.
0.01225	0.	0.	0.	2.24938e-7	0.	0.
0.01235	0.	0.	0.	1.55191e-7	0.	0.
0.01245	0.	0.	0.	1.24839e-7	0.	0.
0.01255	0.	0.	0.	9.76848e-8	0.	0.
0.01265	0.	0.	0.	7.24664e-8	0.	0.
0.01275	0.	0.	0.	3.53226e-8	0.	0.
0.01285	0.	0.	0.	7.01724e-9	0.	0.
0.01295	0.	0.	0.	5.61411e-9	0.	0.
0.01305	0.	0.	0.	3.98359e-9	0.	0.
0.01315	0.	0.	0.	3.05887e-9	0.	0.
0.01325	0.	0.	0.	2.28617e-9	0.	0.
0.01335	0.	0.	0.	1.57978e-9	0.	0.
0.01345	0.	0.	0.	8.79208e-10	0.	0.
0.01355	0.	0.	0.	4.29647e-10	0.	0.
0.01365	0.	0.	0.	7.98249e-11	0.	0.
0.01375	0.	0.	0.	5.14642e-11	0.	0.
0.01385	0.	0.	0.	2.88966e-11	0.	0.
0.01395	0.	0.	0.	2.4012e-11	0.	0.
0.01405	0.	0.	0.	1.95004e-11	0.	0.
0.01415	0.	0.	0.	1.54103e-11	0.	0.
0.01425	0.	0.	0.	1.07179e-11	0.	0.
0.01435	0.	0.	0.	5.74532e-12	0.	0.
0.01445	0.	0.	0.	1.53153e-12	0.	0.
0.01455	0.	0.	0.	1.25947e-12	0.	0.
0.01465	0.	0.	0.	9.76931e-13	0.	0.
0.01475	0.	0.	0.	7.9108e-13	0.	0.
0.01485	0.	0.	0.	6.68099e-13	0.	0.
0.01495	0.	0.	0.	5.44377e-13	0.	0.
0.01505	0.	0.	0.	3.69253e-13	0.	0.
0.01515	0.	0.	0.	3.01897e-13	0.	0.
0.01525	0.	0.	0.	2.52906e-13	0.	0.
0.01535	0.	0.	0.	2.07999e-13	0.	0.
0.01545	0.	0.	0.	1.62824e-13	0.	0.
0.01555	0.	0.	0.	8.88877e-14	0.	0.
0.01565	0.	0.	0.	6.98656e-14	0.	0.
0.01575	0.	0.	0.	5.91926e-14	0.	0.
0.01585	0.	0.	0.	4.91463e-14	0.	0.
0.01595	0.	0.	0.	3.97554e-14	0.	0.
0.01605	0.	0.	0.	3.1169e-14	0.	0.
0.01615	0.	0.	0.	2.17794e-14	0.	0.
0.01625	0.	0.	0.	1.49436e-14	0.	0.
0.01635	0.	0.	0.	8.17042e-15	0.	0.
0.01645	0.	0.	0.	1.90732e-26	0.	0.
0.01655	0.	0.	0.	1.72325e-26	0.	0.
0.01665	0.	0.	0.	1.5459e-26	0.	0.
0.01675	0.	0.	0.	1.37562e-26	0.	0.
0.01685	0.	0.	0.	1.21279e-26	0.	0.
0.01695	0.	0.	0.	1.05766e-26	0.	0.
0.01705	0.	0.	0.	9.09871e-27	0.	0.
0.01715	0.	0.	0.	7.72719e-27	0.	0.
0.01725	0.	0.	0.	6.44643e-27	0.	0.
0.01735	0.	0.	0.	5.25672e-27	0.	0.
0.01745	0.	0.	0.	4.16074e-27	0.	0.
0.01755	0.	0.	0.	3.1596e-27	0.	0.
0.01765	0.	0.	0.	2.24764e-27	0.	0.
0.01775	0.	0.	0.	1.29372e-27	0.	0.
0.01785	0.	0.	0.	2.11316e-28	0.	0.
0.01795	0.	0.	0.	1.82972e-28	0.	0.
0.01805	0.	0.	0.	1.56287e-28	0.	0.
0.01815	0.	0.	0.	1.31376e-28	0.	0.
0.01825	0.	0.	0.	1.08053e-28	0.	0.
0.01835	0.	0.	0.	8.63774e-29	0.	0.
0.01845	0.	0.	0.	6.64011e-29	0.	0.
0.01855	0.	0.	0.	4.84667e-29	0.	0.
0.01865	0.	0.	0.	3.32768e-29	0.	0.
0.01875	0.	0.	0.	1.38638e-29	0.	0.
0.01885	0.	0.	0.	0	0.	0.
0.01895	0.	0.	0.	0	0.	0.
0.01905	0.	0.	0.	0	0.	0.
0.01915	0.	0.	0.	0	0.	0.
0.01925	0.	0.	0.	0	0.	0.
0.01935	0.	0.	0.	0	0.	0.
0.01945	0.	0.	0.	0	0.	0.
0.01955	0.	0.	0.	0	0.	0.
0.01965	0.	0.	0.	0	0.	0.
0.01975	0.	0.	0.	0	0.	0.
0.01985	0.	0.	0.	0	0.	0.
